"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-17","0.00","65","68",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-18",,"63",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-19","0.04","64",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-20","0.04","59","75",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-21","0.00","51",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-22","0.16","50",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-23","0.12","55",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-24","0.00","57",,"49"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-25","0.00","56",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-26","0.00","57",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-27","0.00","63",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-28","0.00","69",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-29","0.00","72",,"63"
